category,emoji,slack_prefix,search_keywords,alert_threshold
vacaturetekst,📝,VACATURETEKST AD,"vacaturetekst,vacature schrijven,job description,betere vacature",1
doelgroep,🎯,DOELGROEP MARKETING,"doelgroep recruitment,candidate persona,talent pool",1
arbeidsmarkt,📊,MARKTINZICHT,"arbeidsmarkt,krapte arbeidsmarkt,arbeidsmarktrapport,talent shortage",1
vacature analyse,🔍,VACATURE ANALYSE,"vacature analyse,job analysis,functieanalyse,vacancy scan",1
uitbesteden recruitment,🤝,RECRUITMENT OUTSOURCING,"recruitment uitbesteden,outsource werving,RPO,recruitment process outsourcing",1
whitepapers,📥,CONTENT DOWNLOAD,"whitepaper,ebook,gratis gids,download rapport,handleiding,free guide",1
werving selectie,🔎,WERVING & SELECTIE,"werving en selectie,headhunter,executive search,talentwerving",1
interim recruitment,⏱️,INTERIM RECRUITMENT,"interim recruitment,interim recruiter,tijdelijke recruitment",1
employer branding,🏆,EMPLOYER BRANDING,"employer branding,werkgeversmerk,talent attractie,employee value proposition,EVP",1
recruitment,📣,RECRUITMENT AD,"recruitmentbureau,recruitment bureau,wervingsbureau,we are hiring",3
recruitment tech,💻,RECRUITMENT TECH,"ats implementatie,recruitment software,recruitment automatisering,ai recruitment",1
sourcing,🕵️,SOURCING EXPERT,"sourcing,kandidaten zoeken,talent sourcing,boolean search,talent pool bouwen",1
hr strategie,🧩,HR STRATEGIE,"strategische personeelsplanning,hr beleid,hr advies,spp",1
talentbehoud,🔒,RETENTIE,"personeel behouden,medewerkerstevredenheid,retentie strategie,verloop verlagen",1
onboarding,🚀,ONBOARDING,"inwerken,onboarding programma,pre-boarding,nieuwe medewerkers behouden",1
data-driven recruitment,📈,DATA RECRUITMENT,"recruitment data,data-driven recruitment,recruitment metrics,time to hire",1
diversiteit inclusie,🌈,D&I RECRUITMENT,"diversiteit en inclusie,inclusief werven,d&i doelen,onbevooroordeeld werven",1
campus recruitment,🎓,CAMPUS RECRUITMENT,"campus recruitment,young professionals werven,traineeship werving,afstudeerders aantrekken",1
tech it recruitment,🖥️,TECH RECRUITMENT,"it recruitment,developers werven,schaarse ict profielen,tech talent",1
assessments,📋,ASSESSMENTS,"recruitment assessment,pre-employment screening,selectie assessment,capaciteitentest",1
